Id,Type,Vessel,Dir,Origin,Destination,Dep_Date,Arr_Date,Code,Trip ID
272,CHOPPER,HN,IN,JAS,UTP,2025-06-06,2025-06-06,N-IN,C-HN-JAS:06/06 > UTP:06/06
273,CHOPPER,HS,OUT,SKL,WN,2025-06-06,2025-06-06,S-OUT,C-HS-SKL:06/06 > WN:06/06
274,CHOPPER,HS,IN,WN,SKL,2025-06-06,2025-06-06,S-IN,C-HS-WN:06/06 > SKL:06/06
275,CHOPPER,HN,OUT,UTP,JAS,2025-06-07,2025-06-07,N-OUT,C-HN-UTP:06/07 > JAS:06/07
276,CHOPPER,HN,IN,JAS,UTP,2025-06-07,2025-06-07,N-IN,C-HN-JAS:06/07 > UTP:06/07
277,CHOPPER,HN,OUT,UTP,MNA,2025-06-07,2025-06-07,N-OUT,C-HN-UTP:06/07 > MNA:06/07
278,CHOPPER,HN,IN,MNA,UTP,2025-06-07,2025-06-07,N-IN,C-HN-MNA:06/07 > UTP:06/07
279,CHOPPER,HN,OUT,UTP,JAS,2025-06-09,2025-06-09,N-OUT,C-HN-UTP:06/09 > JAS:06/09
280,CHOPPER,HN,IN,JAS,UTP,2025-06-09,2025-06-09,N-IN,C-HN-JAS:06/09 > UTP:06/09
281,CHOPPER,HN,OUT,UTP,MNA,2025-06-09,2025-06-09,N-OUT,C-HN-UTP:06/09 > MNA:06/09
282,CHOPPER,HN,IN,MNA,UTP,2025-06-09,2025-06-09,N-IN,C-HN-MNA:06/09 > UTP:06/09
283,CHOPPER,HS,OUT,SKL,NY,2025-06-11,2025-06-11,S-OUT,C-HS-SKL:06/11 > NY:06/11
284,CHOPPER,HS,IN,NY,SKL,2025-06-11,2025-06-11,S-IN,C-HS-NY:06/11 > SKL:06/11
285,CHOPPER,HS,OUT,SKL,WN,2025-06-11,2025-06-11,S-OUT,C-HS-SKL:06/11 > WN:06/11
286,CHOPPER,HS,IN,WN,SKL,2025-06-11,2025-06-11,S-IN,C-HS-WN:06/11 > SKL:06/11
287,CHOPPER,HN,OUT,UTP,JAS,2025-06-14,2025-06-14,N-OUT,C-HN-UTP:06/14 > JAS:06/14
288,CHOPPER,HN,IN,JAS,UTP,2025-06-14,2025-06-14,N-IN,C-HN-JAS:06/14 > UTP:06/14
289,CHOPPER,HN,OUT,UTP,MNA,2025-06-14,2025-06-14,N-OUT,C-HN-UTP:06/14 > MNA:06/14
290,CHOPPER,HN,IN,MNA,UTP,2025-06-14,2025-06-14,N-IN,C-HN-MNA:06/14 > UTP:06/14
291,CHOPPER,HS,OUT,SKL,NY,2025-06-14,2025-06-14,S-OUT,C-HS-SKL:06/14 > NY:06/14
292,CHOPPER,HS,IN,NY,SKL,2025-06-14,2025-06-14,S-IN,C-HS-NY:06/14 > SKL:06/14
293,CHOPPER,HN,OUT,UTP,JAS,2025-06-16,2025-06-16,N-OUT,C-HN-UTP:06/16 > JAS:06/16
294,CHOPPER,HN,IN,JAS,UTP,2025-06-16,2025-06-16,N-IN,C-HN-JAS:06/16 > UTP:06/16
295,CHOPPER,HS,OUT,SKL,NY,2025-06-18,2025-06-18,S-OUT,C-HS-SKL:06/18 > NY:06/18
296,CHOPPER,HS,IN,NY,SKL,2025-06-18,2025-06-18,S-IN,C-HS-NY:06/18 > SKL:06/18
297,CHOPPER,HS,OUT,SKL,WN,2025-06-18,2025-06-18,S-OUT,C-HS-SKL:06/18 > WN:06/18
298,CHOPPER,HS,IN,WN,SKL,2025-06-18,2025-06-18,S-IN,C-HS-WN:06/18 > SKL:06/18
299,CHOPPER,HN,OUT,UTP,JAS,2025-06-19,2025-06-19,N-OUT,C-HN-UTP:06/19 > JAS:06/19
300,CHOPPER,HN,IN,JAS,UTP,2025-06-19,2025-06-19,N-IN,C-HN-JAS:06/19 > UTP:06/19
301,CHOPPER,HS,OUT,SKL,WN,2025-06-20,2025-06-20,S-OUT,C-HS-SKL:06/20 > WN:06/20
302,CHOPPER,HS,IN,WN,SKL,2025-06-20,2025-06-20,S-IN,C-HS-WN:06/20 > SKL:06/20
303,CHOPPER,HN,OUT,UTP,JAS,2025-06-21,2025-06-21,N-OUT,C-HN-UTP:06/21 > JAS:06/21
304,CHOPPER,HN,IN,JAS,UTP,2025-06-21,2025-06-21,N-IN,C-HN-JAS:06/21 > UTP:06/21
305,CHOPPER,HN,OUT,UTP,MNA,2025-06-21,2025-06-21,N-OUT,C-HN-UTP:06/21 > MNA:06/21
